"Date";"Time";"Script";"ScriptVersion";"Event"
"2023-07-01";"15:00:04";"PWS2mqtt";;"M2MQtt module loaded"
"2023-07-01";"15:00:04";"PWS2mqtt";;"Default MQTT port selected"
"2023-07-01";"15:00:04";"PWS2mqtt";;"Default MQTT retain bit is set"
"2023-07-01";"15:00:04";"PWS2mqtt";;"Connecting to MQTT server 1883"
"2023-07-01";"15:00:05";"PWS2mqtt";;"End of function app"
"2023-07-01";"15:01:33";"PWS2mqtt";;"M2MQtt module loaded"
"2023-07-01";"15:01:33";"PWS2mqtt";;"Default MQTT port selected"
"2023-07-01";"15:01:33";"PWS2mqtt";;"Default MQTT retain bit is set"
"2023-07-01";"15:01:33";"PWS2mqtt";;"Connecting to MQTT server 1883"
"2023-07-01";"15:01:34";"PWS2mqtt";;"End of function app"
"2023-07-01";"15:03:27";"PWS2mqtt";;"M2MQtt module loaded"
"2023-07-01";"15:03:28";"PWS2mqtt";;"Default MQTT retain bit is set"
"2023-07-01";"15:03:28";"PWS2mqtt";;"Connecting to MQTT server 1883"
"2023-07-01";"15:03:29";"PWS2mqtt";;"End of function app"
"2023-07-01";"15:04:32";"PWS2mqtt";;"M2MQtt module loaded"
"2023-07-01";"15:04:32";"PWS2mqtt";;"Default MQTT retain bit is set"
"2023-07-01";"15:04:32";"PWS2mqtt";;"Connecting to MQTT server 1883"
"2023-07-01";"15:04:33";"PWS2mqtt";;"End of function app"
"2023-07-01";"15:06:12";"PWS2mqtt";;"M2MQtt module loaded"
"2023-07-01";"15:06:12";"PWS2mqtt";;"Default MQTT retain bit is set"
"2023-07-01";"15:06:12";"PWS2mqtt";;"Connecting to MQTT server 1883"
"2023-07-01";"15:06:14";"PWS2mqtt";;"End of function app"
"2023-07-01";"15:07:31";"PWS2mqtt";;"M2MQtt module loaded"
"2023-07-01";"15:07:31";"PWS2mqtt";;"Default MQTT retain bit is set"
"2023-07-01";"15:07:31";"PWS2mqtt";;"Connecting to MQTT server 1883"
"2023-07-01";"15:07:32";"PWS2mqtt";;"End of function app"
"2023-07-01";"15:11:43";"PWS2mqtt";;"M2MQtt module loaded"
"2023-07-01";"15:11:44";"PWS2mqtt";;"Connecting to MQTT server 1883"
"2023-07-01";"15:11:45";"PWS2mqtt";;"End of function app"
"2023-07-01";"15:15:14";"PWS2mqtt";;"M2MQtt module loaded"
"2023-07-01";"15:15:14";"PWS2mqtt";;"Connecting to MQTT server 1883"
"2023-07-01";"15:15:15";"PWS2mqtt";;"End of function app"
"2023-07-01";"15:16:33";"PWS2mqtt";;"M2MQtt module loaded"
"2023-07-01";"15:16:33";"PWS2mqtt";;"Connecting to MQTT server 1883"
"2023-07-01";"15:16:35";"PWS2mqtt";;"End of function app"
"2023-07-01";"15:18:13";"PWS2mqtt";;"M2MQtt module loaded"
"2023-07-01";"15:18:14";"PWS2mqtt";;"Connecting to MQTT server 1883"
"2023-07-01";"15:18:14";"PWS2mqtt";;"End of function app"
"2023-07-01";"15:20:31";"PWS2mqtt";;"M2MQtt module loaded"
"2023-07-01";"15:20:31";"PWS2mqtt";;"Connecting to MQTT server 1883"
"2023-07-01";"15:20:32";"PWS2mqtt";;"End of function app"
"2023-07-01";"15:21:36";"PWS2mqtt";;"M2MQtt module loaded"
"2023-07-01";"15:21:36";"PWS2mqtt";;"Connecting to MQTT server 1883"
"2023-07-01";"15:21:36";"PWS2mqtt";;"End of function app"
"2023-07-01";"15:22:40";"PWS2mqtt";;"M2MQtt module loaded"
"2023-07-01";"15:22:40";"PWS2mqtt";;"Connecting to MQTT server 1883"
"2023-07-01";"15:22:40";"PWS2mqtt";;"End of function app"
"2023-07-01";"15:27:29";"PWS2mqtt";;"Converting the rawdata"
"2023-07-01";"15:27:29";"PWS2mqtt";;"M2MQtt module loaded"
"2023-07-01";"15:27:29";"PWS2mqtt";;"Connecting to MQTT server 1883"
"2023-07-01";"15:27:29";"PWS2mqtt";;"Publishing data per topic"
"2023-07-01";"15:27:29";"PWS2mqtt";;"Publishing json data"
"2023-07-01";"15:27:29";"PWS2mqtt";;"Publishing raw data (json)"
"2023-07-01";"15:27:29";"PWS2mqtt";;"Disconnecting MQTT"
"2023-07-01";"15:27:29";"PWS2mqtt";;"End of function app"
"2023-07-01";"15:45:04";"PWS2mqtt";;"Converting the rawdata"
"2023-07-01";"15:45:04";"PWS2mqtt";;"M2MQtt module loaded"
"2023-07-01";"15:45:04";"PWS2mqtt";;"Connecting to MQTT server 1883"
"2023-07-01";"15:45:04";"PWS2mqtt";;"Publishing data per topic"
"2023-07-01";"15:45:04";"PWS2mqtt";;"Publishing json data"
"2023-07-01";"15:45:04";"PWS2mqtt";;"Publishing raw data (json)"
"2023-07-01";"15:45:04";"PWS2mqtt";;"Disconnecting MQTT"
"2023-07-01";"15:45:04";"PWS2mqtt";;"End of function app"
"2023-07-01";"15:46:06";"PWS2mqtt";;"Converting the rawdata"
"2023-07-01";"15:46:06";"PWS2mqtt";;"M2MQtt module loaded"
"2023-07-01";"15:46:07";"PWS2mqtt";;"Connecting to MQTT server 1883"
"2023-07-01";"15:46:07";"PWS2mqtt";;"Publishing data per topic"
"2023-07-01";"15:46:07";"PWS2mqtt";;"Publishing json data"
"2023-07-01";"15:46:07";"PWS2mqtt";;"Publishing raw data (json)"
"2023-07-01";"15:46:07";"PWS2mqtt";;"Disconnecting MQTT"
"2023-07-01";"15:46:07";"PWS2mqtt";;"End of function app"
"2023-07-01";"15:47:11";"PWS2mqtt";;"Converting the rawdata"
"2023-07-01";"15:47:11";"PWS2mqtt";;"M2MQtt module loaded"
"2023-07-01";"15:47:11";"PWS2mqtt";;"Connecting to MQTT server 1883"
"2023-07-01";"15:47:11";"PWS2mqtt";;"Publishing data per topic"
"2023-07-01";"15:47:11";"PWS2mqtt";;"Publishing json data"
"2023-07-01";"15:47:11";"PWS2mqtt";;"Publishing raw data (json)"
"2023-07-01";"15:47:11";"PWS2mqtt";;"Disconnecting MQTT"
"2023-07-01";"15:47:11";"PWS2mqtt";;"End of function app"
"2023-07-01";"15:48:14";"PWS2mqtt";;"Converting the rawdata"
"2023-07-01";"15:48:14";"PWS2mqtt";;"M2MQtt module loaded"
"2023-07-01";"15:48:14";"PWS2mqtt";;"Connecting to MQTT server 1883"
"2023-07-01";"15:48:15";"PWS2mqtt";;"Publishing data per topic"
"2023-07-01";"15:48:15";"PWS2mqtt";;"Publishing json data"
"2023-07-01";"15:48:15";"PWS2mqtt";;"Publishing raw data (json)"
"2023-07-01";"15:48:15";"PWS2mqtt";;"Disconnecting MQTT"
"2023-07-01";"15:48:15";"PWS2mqtt";;"End of function app"
"2023-07-01";"15:49:19";"PWS2mqtt";;"Converting the rawdata"
"2023-07-01";"15:49:19";"PWS2mqtt";;"M2MQtt module loaded"
"2023-07-01";"15:49:19";"PWS2mqtt";;"Connecting to MQTT server 1883"
"2023-07-01";"15:49:19";"PWS2mqtt";;"Publishing data per topic"
"2023-07-01";"15:49:19";"PWS2mqtt";;"Publishing json data"
"2023-07-01";"15:49:19";"PWS2mqtt";;"Publishing raw data (json)"
"2023-07-01";"15:49:19";"PWS2mqtt";;"Disconnecting MQTT"
"2023-07-01";"15:49:19";"PWS2mqtt";;"End of function app"
"2023-07-01";"15:50:22";"PWS2mqtt";;"Converting the rawdata"
"2023-07-01";"15:50:22";"PWS2mqtt";;"M2MQtt module loaded"
"2023-07-01";"15:50:22";"PWS2mqtt";;"Connecting to MQTT server 1883"
"2023-07-01";"15:50:22";"PWS2mqtt";;"Publishing data per topic"
"2023-07-01";"15:50:23";"PWS2mqtt";;"Publishing json data"
"2023-07-01";"15:50:23";"PWS2mqtt";;"Publishing raw data (json)"
"2023-07-01";"15:50:23";"PWS2mqtt";;"Disconnecting MQTT"
"2023-07-01";"15:50:23";"PWS2mqtt";;"End of function app"
"2023-07-01";"15:51:27";"PWS2mqtt";;"Converting the rawdata"
"2023-07-01";"15:51:27";"PWS2mqtt";;"M2MQtt module loaded"
"2023-07-01";"15:51:27";"PWS2mqtt";;"Connecting to MQTT server 1883"
"2023-07-01";"15:51:27";"PWS2mqtt";;"Publishing data per topic"
"2023-07-01";"15:51:27";"PWS2mqtt";;"Publishing json data"
"2023-07-01";"15:51:27";"PWS2mqtt";;"Publishing raw data (json)"
"2023-07-01";"15:51:27";"PWS2mqtt";;"Disconnecting MQTT"
"2023-07-01";"15:51:27";"PWS2mqtt";;"End of function app"
"2023-07-01";"15:52:30";"PWS2mqtt";;"Converting the rawdata"
"2023-07-01";"15:52:30";"PWS2mqtt";;"M2MQtt module loaded"
"2023-07-01";"15:52:30";"PWS2mqtt";;"Connecting to MQTT server 1883"
"2023-07-01";"15:52:31";"PWS2mqtt";;"Publishing data per topic"
"2023-07-01";"15:52:31";"PWS2mqtt";;"Publishing json data"
"2023-07-01";"15:52:31";"PWS2mqtt";;"Publishing raw data (json)"
"2023-07-01";"15:52:31";"PWS2mqtt";;"Disconnecting MQTT"
"2023-07-01";"15:52:31";"PWS2mqtt";;"End of function app"
"2023-07-01";"15:55:48";"PWS2mqtt";;"Converting the rawdata"
"2023-07-01";"15:55:49";"PWS2mqtt";;"M2MQtt module loaded"
"2023-07-01";"15:55:49";"PWS2mqtt";;"Connecting to MQTT server 1883"
"2023-07-01";"15:55:49";"PWS2mqtt";;"Publishing data per topic"
"2023-07-01";"15:55:49";"PWS2mqtt";;"Publishing json data"
"2023-07-01";"15:55:49";"PWS2mqtt";;"Publishing raw data (json)"
"2023-07-01";"15:55:49";"PWS2mqtt";;"Disconnecting MQTT"
"2023-07-01";"15:56:15";"PWS2mqtt";;"Converting the rawdata"
"2023-07-01";"15:56:15";"PWS2mqtt";;"M2MQtt module loaded"
"2023-07-01";"15:56:15";"PWS2mqtt";;"Connecting to MQTT server 1883"
"2023-07-01";"15:56:15";"PWS2mqtt";;"Publishing data per topic"
"2023-07-01";"15:56:15";"PWS2mqtt";;"Publishing json data"
"2023-07-01";"15:56:15";"PWS2mqtt";;"Publishing raw data (json)"
"2023-07-01";"15:56:15";"PWS2mqtt";;"Disconnecting MQTT"
"2023-07-01";"15:56:31";"PWS2mqtt";;"Converting the rawdata"
"2023-07-01";"15:56:31";"PWS2mqtt";;"M2MQtt module loaded"
"2023-07-01";"15:56:31";"PWS2mqtt";;"Connecting to MQTT server 1883"
"2023-07-01";"15:56:31";"PWS2mqtt";;"Publishing data per topic"
"2023-07-01";"15:56:31";"PWS2mqtt";;"Publishing json data"
"2023-07-01";"15:56:31";"PWS2mqtt";;"Publishing raw data (json)"
"2023-07-01";"15:56:31";"PWS2mqtt";;"Disconnecting MQTT"
"2023-07-01";"16:01:51";"PWS2mqtt";;"Converting the rawdata"
"2023-07-01";"16:01:51";"PWS2mqtt";;"M2MQtt module loaded"
"2023-07-01";"16:01:51";"PWS2mqtt";;"Connecting to MQTT server 1883"
"2023-07-01";"16:01:52";"PWS2mqtt";;"Publishing data per topic"
"2023-07-01";"16:01:52";"PWS2mqtt";;"Publishing json data"
"2023-07-01";"16:01:52";"PWS2mqtt";;"Publishing raw data (json)"
"2023-07-01";"16:01:52";"PWS2mqtt";;"Disconnecting MQTT"
"2023-07-01";"16:01:52";"PWS2mqtt";;"End of function app"
"2023-07-01";"16:06:07";"PWS2mqtt";;"Converting the rawdata"
"2023-07-01";"16:06:07";"PWS2mqtt";;"M2MQtt module loaded"
"2023-07-01";"16:06:07";"PWS2mqtt";;"Connecting to MQTT server 1883"
"2023-07-01";"16:06:07";"PWS2mqtt";;"Publishing data per topic"
"2023-07-01";"16:06:07";"PWS2mqtt";;"Publishing json data"
"2023-07-01";"16:06:07";"PWS2mqtt";;"Publishing raw data (json)"
"2023-07-01";"16:06:07";"PWS2mqtt";;"Disconnecting MQTT"
"2023-07-01";"16:06:07";"PWS2mqtt";;"End of function app"
"2023-07-01";"16:07:11";"PWS2mqtt";;"Converting the rawdata"
"2023-07-01";"16:07:12";"PWS2mqtt";;"M2MQtt module loaded"
"2023-07-01";"16:07:12";"PWS2mqtt";;"Connecting to MQTT server 1883"
"2023-07-01";"16:07:12";"PWS2mqtt";;"Publishing data per topic"
"2023-07-01";"16:07:12";"PWS2mqtt";;"Publishing json data"
"2023-07-01";"16:07:12";"PWS2mqtt";;"Publishing raw data (json)"
"2023-07-01";"16:07:12";"PWS2mqtt";;"Disconnecting MQTT"
"2023-07-01";"16:07:12";"PWS2mqtt";;"End of function app"
"2023-07-01";"16:08:14";"PWS2mqtt";;"Converting the rawdata"
"2023-07-01";"16:08:14";"PWS2mqtt";;"M2MQtt module loaded"
"2023-07-01";"16:08:14";"PWS2mqtt";;"Connecting to MQTT server 1883"
"2023-07-01";"16:08:15";"PWS2mqtt";;"Publishing data per topic"
"2023-07-01";"16:08:15";"PWS2mqtt";;"Publishing json data"
"2023-07-01";"16:08:15";"PWS2mqtt";;"Publishing raw data (json)"
"2023-07-01";"16:08:15";"PWS2mqtt";;"Disconnecting MQTT"
"2023-07-01";"16:08:15";"PWS2mqtt";;"End of function app"
"2023-07-01";"16:09:19";"PWS2mqtt";;"Converting the rawdata"
"2023-07-01";"16:09:19";"PWS2mqtt";;"M2MQtt module loaded"
"2023-07-01";"16:09:19";"PWS2mqtt";;"Connecting to MQTT server 1883"
"2023-07-01";"16:09:19";"PWS2mqtt";;"Publishing data per topic"
"2023-07-01";"16:09:19";"PWS2mqtt";;"Publishing json data"
"2023-07-01";"16:09:19";"PWS2mqtt";;"Publishing raw data (json)"
"2023-07-01";"16:09:19";"PWS2mqtt";;"Disconnecting MQTT"
"2023-07-01";"16:09:19";"PWS2mqtt";;"End of function app"
"2023-07-01";"16:10:26";"PWS2mqtt";;"Converting the rawdata"
"2023-07-01";"16:10:26";"PWS2mqtt";;"M2MQtt module loaded"
"2023-07-01";"16:10:26";"PWS2mqtt";;"Connecting to MQTT server 1883"
"2023-07-01";"16:10:26";"PWS2mqtt";;"Publishing data per topic"
"2023-07-01";"16:10:26";"PWS2mqtt";;"Publishing json data"
"2023-07-01";"16:10:26";"PWS2mqtt";;"Publishing raw data (json)"
"2023-07-01";"16:10:26";"PWS2mqtt";;"Disconnecting MQTT"
"2023-07-01";"16:10:26";"PWS2mqtt";;"End of function app"
